;;;
;;;
;;;
category;text;answer;points
Fotball VM;Hvem skal Norge møte i gruppen sin i VM 2026?;Frankrike, Senegal og Bolivia/Irak/Surinam;100
Fotball VM;Hvor skal Norge spille kampene sine i VM?;Boston, New York;200
Fotball VM;Nevn et lag som debuterer i VM i 2026;Kapp Verde, Curacao, Jordan, Usbekistan;300
Fotball VM;Nevn alle målscorerne i VM finalen 2022 (ikke straffekonk);Messi, Di Maria, Mbappe;400
Fotball VM;Nevn en spiller som har scoret åpningsmålet i et VM;Google;500
2025;Var 2025 et skuddår?;Nei;100
2025;Hvem vant Eurovision?;Østerrike;200
2025;Hvem vant Ballon d’Or?;Ousmane Dembele;300
2025;Hvor mange medaljer vant Klæbo i VM?;Seks;400
2025;Hvor mange prosent oppslutning fikk FrP?;23,8 %;500
Girl Stuff;Hva heter det elektriske, virale, hårstylingsverktøyet som kom i 2018?;Dyson Air Wrap;100
Girl Stuff;Hva står GRWM og OOTD for?;Get ready with me og Outfit of the day;200
Girl Stuff;Nevn 2 vesker fra Hermes;Birkin, Kelly, Picotin ++;300
Girl Stuff;Hvem lager blushen i shaden orgasm?;NARS;400
Girl Stuff;Hvilken parfyme er dette?;YSL Black Opium;500
Geografi;Hva er hovedstaden i Mexico?;Mexico City;100
Geografi;Hvilke land består UK av?;England, Skottland, Wales og Nord-Irland;200
Geografi;Hva er verdens nordligste hovedstad?;Reykjavik;300
Geografi;Hvor høy er Galdhøpiggen?;2469 meter;400
Geografi;Nevn alle 5/7 Wonders of the world;Colosseum, Pyramidene, Kinesiske mur, Petra, Kristusstatuen i Rio, Taj Mahal og Chichen Itza;500
Diverse;Hvor mange hull har en typisk golfbane?;18;100
Diverse;Hva trenger man for å lage en Amaretto Sour;Eggehvite, Sitronsaft, Sukkerlake og Amaretto;200
Diverse;Hvilke førere vant løp i F1 2025?;L. Norris, O. Piastri, M. Verstappen og G. Russel;300
Diverse;Hvor mange Pokémon er det i generasjon 1?;151;400
Diverse;Nevn 1 programmeringsspråk jeg har brukt for å lage denne appen;HTML, TypeScript, CSS;500
