category;text;answer;points;questionImage;answerImage
VM Historie;I hvilket land ble det aller første fotball-VM arrangert i 1930?;Uruguay (som også vant);100
VM Historie;Hvilke to land har vunnet VM fire ganger hver?;Tyskland og Italia;200
VM Historie;Hvem scoret det beryktede "Hånden til Gud"-målet i 1986?;Diego Maradona;300
VM Historie;Hva endte den beryktede semifinalen mellom Brasil og Tyskland i VM 2014?;1-7;400
VM Historie;Hvem er den yngste spilleren som har scoret i en VM-finale?;Pelé (17 år, i 1958);500
VM 2026;Hvor mange lag deltar i VM 2026?;48;100
VM 2026;Hvilke tre land arrangerer VM 2026?;USA, Canada og Mexico;200
VM 2026;På hvilket stadion spilles VM-finalen 2026?;MetLife Stadium (New York/New Jersey);300
VM 2026;VM 2026 har tre maskoter. Nevn minst én av dem;Maple (elg), Zayu (jaguar) og Clutch (ørn);400
VM 2026;Hvor mange kamper spilles totalt i VM 2026?;104;500
Norge i VM;Hvem var trener for Norge i VM 1998?;Egil "Drillo" Olsen;100
Norge i VM;Hvilket stort fotballand slo Norge 2-1 i gruppespillet i VM 1998?;Brasil;200
Norge i VM;Hvem satte straffesparket som ga Norge seieren over Brasil i 1998?;Kjetil Rekdal;300
Norge i VM;Hvilket lag slo Norge ut av VM 1998 i åttedelsfinalen?;Italia (0-1);400
Norge i VM;Norge deltok i VM allerede i 1938. Hvem slo oss ut da?;Italia (1-2 etter ekstraomganger);500
Legender;Hvem er den eneste spilleren som har vunnet VM tre ganger?;Pelé;100
Legender;Hvilken fransk legende ble utvist i VM-finalen 2006 etter en skalle?;Zinedine Zidane;200
Legender;Hvilken brasilianer er Brasils toppscorer i VM med 15 mål?;Ronaldo;300
Legender;Hvem har spilt flest VM-kamper gjennom tidene?;Lionel Messi (26 kamper);400
Legender;Hvem ble i 2022 den første til å score i fem forskjellige VM-sluttspill?;Cristiano Ronaldo;500
Diverse;Hvilken sang fremførte Shakira til VM i 2010?;Waka Waka (This Time for Africa);100
Diverse;Hva het blekkspruten som tippet VM-resultater i 2010?;Paul;200
Diverse;Hva heter den offisielle VM-ballen i 2026?;Trionda;300
Diverse;Hvem scoret tidenes raskeste VM-mål, etter bare 11 sekunder?;Hakan Sükür (Tyrkia, 2002);400
Diverse;Cirka hvor mange tilskuere så VM-finalen på Maracanã i 1950?;Ca. 200 000 (173 850 offisielt);500
